,ci_persona,id_empresa
0,5840929927,0da4b79c026d4ea0bc2466dc70f50f39
1,1237543950,f378e34c1b0e4f479681e37d97f12922
2,9978999255,e51011bc72634686ac384dfc3abfe1da
3,2622437249,b8ab82e9433b41bdb403f855886b595d
4,3818329570,9725440297a54a83afbb2fe0872e2e21
5,7740072623,459d3d83481447c1b797653206df62b5
6,6280261944,96f837d097e244739842085656703c87
7,4018970712,45ab2029c10f44a79eb8cb7c6d1dfb68
8,2055040642,90fc008be4234408809d13daebd52f48
9,4877371695,d3ffd5a8e187453ea38c56713b6a080a
10,6912222388,3d82dea53ba94415bfc500e9fc2af034
11,0386451071,385e110b37a543bebfb8de8a787abec3
12,0422034191,84998a522fd84ce6903a91229577da0a
13,0156490580,de6d1734c18e4d72b443ae6532d4f191
14,3446275363,f69a29ffc2c8495b8a379d550db53d7b
15,1667610230,a3787422c4cd4fd2a4be4ac497370d7b
16,1049257884,9a54ae38d6e649ddbbb5503ea9f06b5e
17,2535913183,d991897a26074bb0ad3e8fa9afba5d3f
18,9536585647,f2aa0ff0f86c4fcab46b4a2fe67e1a09
19,8631138040,5172e17214e0439e8679000719f8a899
20,3380427539,4889bfb92dce461fb394a82d35130be6
21,1558461148,9275b1eb96ac4644b6dbf2dcee0be036
22,4046222972,0ef9f6efb80b4defa7f13c6d4862b1f8
23,4682359977,805caa6b98544137872e625934f2e2b3
24,0977929075,7e2a2b0a08be446ba73e6af7fb21cb16
25,1700009921,0c2c52a374a848d5b3fbd6169c78d4c1
26,7747325447,489c17c9763a405ea7dfaa9a536b6966
27,0703030160,d8e614871fb74086bbd69632006b898f
28,5225775404,7a24cb19097d44c7b9688a47c2c252c9
29,7558903122,631b972b2f9b4801bc49815d14bb29f7
30,2985321185,03a5aa6ece094a639a7fc402a0103124
31,7419487020,ab546a7bf8b34bbc838a84d6ba750589
32,1807728001,40c9122b774948f8a79a8f4ec964ee33
33,2937811631,3e9b09e768f442db90afe4a203f12c05
34,3669909679,b7d71b8067b1485eb2c189b11d3cc324
